,latitude,longitude,cluster,year,District
0,18.3777,80.5314,0,2015,Mulugu
1,17.5241,80.3135,0,2015,Khammam
2,17.7571,80.3404,2,2015,Bhadradri Kothagudem
3,17.7513,80.3465,2,2015,Bhadradri Kothagudem
4,17.7421,80.3616,0,2015,Bhadradri Kothagudem
5,17.7385,80.342,0,2015,Bhadradri Kothagudem
6,17.9539,80.8069,0,2015,Bhadradri Kothagudem
7,19.0243,78.3855,0,2015,Nirmal
8,18.6166,77.9762,2,2015,Nizamabad
9,18.6144,77.9972,2,2015,Nizamabad
10,17.3005,80.9606,2,2015,Bhadradri Kothagudem
11,17.3021,80.9481,2,2015,Bhadradri Kothagudem
12,17.2146,80.7641,0,2015,Khammam
13,16.0515,78.7864,0,2015,Nagarkurnool
14,18.1696,78.6494,0,2015,Siddipet
15,18.171,78.6588,0,2015,Siddipet
16,16.6521,77.9877,0,2015,Mahabubnagar
17,17.8572,80.1516,0,2015,Mahabubabad
18,17.1496,80.8198,0,2015,Khammam
19,17.6176,80.3436,0,2015,Bhadradri Kothagudem
20,18.02,80.6688,0,2015,Bhadradri Kothagudem
21,16.8424,79.8627,0,2015,Suryapet
22,17.7721,80.0628,0,2015,Mahabubabad
23,18.1545,79.9015,0,2015,Mulugu
24,18.146,80.0396,0,2015,Mulugu
25,18.1452,79.835,0,2015,Warangal
26,18.2986,79.9451,0,2015,Mulugu
27,18.2973,79.9356,0,2015,Mulugu
28,18.5915,79.8722,0,2015,Jayashankar Bhupalapally
29,18.2036,77.8151,0,2015,Kamareddy
30,18.9335,78.6435,0,2015,Jagtial
31,18.5702,79.3843,0,2015,Peddapalli
32,17.8345,80.8619,0,2015,Bhadradri Kothagudem
33,17.7498,80.1955,0,2015,Mahabubabad
34,18.5093,80.4004,0,2015,Mulugu
35,17.1789,80.8782,0,2015,Khammam
36,18.1029,80.6424,0,2015,Bhadradri Kothagudem
37,18.3891,80.5292,0,2015,Mulugu
38,17.6913,80.3583,0,2015,Bhadradri Kothagudem
39,17.6928,80.3684,0,2015,Bhadradri Kothagudem
40,16.0638,78.809,0,2015,Nagarkurnool
41,16.8283,78.0753,0,2015,Mahabubnagar
42,17.7252,77.8498,0,2015,Sangareddy
43,17.8771,78.0818,0,2015,Medak
44,16.0664,78.8013,0,2015,Nagarkurnool
45,17.9643,79.9819,0,2015,Warangal
46,18.4912,80.0558,0,2015,Jayashankar Bhupalapally
47,17.4889,78.2869,2,2015,Sangareddy
48,17.9,79.0313,0,2015,Siddipet
49,16.7483,78.3588,0,2015,Mahabubnagar
50,18.1518,78.3,0,2015,Medak
51,17.6496,80.2685,0,2015,Bhadradri Kothagudem
52,17.7912,80.2863,0,2015,Bhadradri Kothagudem
53,18.1914,79.9195,0,2015,Mulugu
54,18.1886,79.9037,0,2015,Mulugu
55,18.6844,77.77,2,2015,Nizamabad
56,17.0556,80.1105,2,2015,Khammam
57,17.1877,80.2715,2,2015,Khammam
58,18.013,80.0575,0,2015,Mahabubabad
59,18.1561,77.8882,0,2015,Kamareddy
60,17.7454,80.4238,0,2015,Bhadradri Kothagudem
61,17.139,78.0446,1,2015,Rangareddy
62,18.0412,80.7079,0,2015,Bhadradri Kothagudem
63,17.6198,80.2885,0,2015,Bhadradri Kothagudem
64,17.7358,80.2254,0,2015,Mahabubabad
65,17.7261,80.2268,0,2015,Mahabubabad
66,18.7001,79.4261,0,2015,Peddapalli
67,18.2696,79.9439,1,2015,Mulugu
68,18.2353,79.9045,0,2015,Jayashankar Bhupalapally
69,18.332,79.8619,0,2015,Jayashankar Bhupalapally
70,18.3306,79.8511,0,2015,Jayashankar Bhupalapally
71,18.0704,79.9737,0,2015,Warangal
72,17.6913,78.045,0,2015,Sangareddy
73,18.039,78.2262,0,2015,Medak
74,18.3478,77.6727,0,2015,Kamareddy
75,19.1111,78.5941,0,2015,Nirmal
76,18.6794,77.7859,2,2015,Nizamabad
77,17.797,80.2697,0,2015,Bhadradri Kothagudem
78,17.7347,80.0938,0,2015,Mahabubabad
79,17.5785,80.4752,0,2015,Bhadradri Kothagudem
