,latitude,longitude,cluster
0,18.3777,80.5314,0
1,17.5241,80.3135,0
2,17.7571,80.3404,2
3,17.7513,80.3465,2
4,17.7421,80.3616,0
5,17.7385,80.342,0
6,17.9539,80.8069,0
7,19.0243,78.3855,0
8,18.6166,77.9762,2
9,18.6144,77.9972,2
10,17.3005,80.9606,2
11,17.3021,80.9481,2
12,17.2146,80.7641,0
13,16.0515,78.7864,0
14,18.1696,78.6494,0
15,18.171,78.6588,0
16,16.6521,77.9877,0
17,17.8572,80.1516,0
18,17.1496,80.8198,0
19,17.6176,80.3436,0
20,18.02,80.6688,0
21,16.8424,79.8627,0
22,17.7721,80.0628,0
23,18.1545,79.9015,0
24,18.146,80.0396,0
25,18.1452,79.835,0
26,18.2986,79.9451,0
27,18.2973,79.9356,0
28,18.5915,79.8722,0
29,18.2036,77.8151,0
30,18.9335,78.6435,0
31,18.5702,79.3843,0
32,17.8345,80.8619,0
33,17.7498,80.1955,0
34,18.5093,80.4004,0
35,17.1789,80.8782,0
36,18.1029,80.6424,0
37,18.3891,80.5292,0
38,17.6913,80.3583,0
39,17.6928,80.3684,0
40,16.0638,78.809,0
41,16.8283,78.0753,0
42,17.7252,77.8498,0
43,17.8771,78.0818,0
44,16.0664,78.8013,0
45,17.9643,79.9819,0
46,18.4912,80.0558,0
47,17.4889,78.2869,2
48,17.9,79.0313,0
49,16.7483,78.3588,0
50,18.1518,78.3,0
51,17.6496,80.2685,0
52,17.7912,80.2863,0
53,18.1914,79.9195,0
54,18.1886,79.9037,0
55,18.6844,77.77,2
56,17.0556,80.1105,2
57,17.1877,80.2715,2
58,18.013,80.0575,0
59,18.1561,77.8882,0
60,17.7454,80.4238,0
61,17.139,78.0446,1
62,18.0412,80.7079,0
63,17.6198,80.2885,0
64,17.7358,80.2254,0
65,17.7261,80.2268,0
66,18.7001,79.4261,0
67,18.2696,79.9439,1
68,18.2353,79.9045,0
69,18.332,79.8619,0
70,18.3306,79.8511,0
71,18.0704,79.9737,0
72,17.6913,78.045,0
73,18.039,78.2262,0
74,18.3478,77.6727,0
75,19.1111,78.5941,0
76,18.6794,77.7859,2
77,17.797,80.2697,0
78,17.7347,80.0938,0
79,17.5785,80.4752,0
80,17.6683,80.2739,0
